game_id,game_date,home_team,away_team,start_time,hour,minute,second
2001_01_NYG_DEN,2001-09-10,DEN,NYG,21:00:00,21,0,0
2001_02_WAS_GB,2001-09-24,GB,WAS,21:00:00,21,0,0
2001_03_SF_NYJ,2001-10-01,NYJ,SF,21:00:00,21,0,0
2001_04_STL_DET,2001-10-08,DET,LA,21:00:00,21,0,0
2001_05_WAS_DAL,2001-10-15,DAL,WAS,21:00:00,21,0,0
2001_06_PHI_NYG,2001-10-22,NYG,PHI,21:00:00,21,0,0
2001_07_TEN_PIT,2001-10-29,PIT,TEN,21:00:00,21,0,0
2001_08_DEN_OAK,2001-11-05,LV,DEN,21:00:00,21,0,0
2001_09_BAL_TEN,2001-11-12,TEN,BAL,21:00:00,21,0,0
2001_10_NYG_MIN,2001-11-19,MIN,NYG,21:00:00,21,0,0
2001_11_GB_DET,2001-11-22,DET,GB,12:30:00,12,30,0
2001_11_TB_STL,2001-11-26,LA,TB,21:00:00,21,0,0
2001_12_GB_JAX,2001-12-03,JAX,GB,21:00:00,21,0,0
2001_13_IND_MIA,2001-12-10,MIA,IND,21:00:00,21,0,0
2001_14_OAK_SD,2001-12-15,LAC,LV,17:00:00,17,0,0
2001_14_STL_NO,2001-12-17,NO,LA,21:00:00,21,0,0
2001_15_PHI_SF,2001-12-22,SF,PHI,17:00:00,17,0,0
2001_15_TEN_OAK,2001-12-22,LV,TEN,21:00:00,21,0,0
2001_16_BAL_TB,2001-12-29,TB,BAL,21:00:00,21,0,0
2001_17_DEN_IND,2002-01-06,IND,DEN,12:00:00,12,0,0
2001_17_MIN_BAL,2002-01-07,BAL,MIN,21:00:00,21,0,0
2001_18_SF_GB,2002-01-13,GB,SF,12:30:00,12,30,0
2001_19_BAL_PIT,2002-01-20,PIT,BAL,12:30:00,12,30,0
2001_20_NE_PIT,2002-01-27,PIT,NE,12:30:00,12,30,0
2001_21_STL_NE,2002-02-03,NE,LA,18:40:00,18,40,0
2002_01_PIT_NE,2002-09-09,NE,PIT,21:00:00,21,0,0
2002_02_PHI_WAS,2002-09-16,WAS,PHI,21:00:00,21,0,0
2002_03_STL_TB,2002-09-23,TB,LA,21:00:00,21,0,0
2002_04_DEN_BAL,2002-09-30,BAL,DEN,21:00:00,21,0,0
2002_05_GB_CHI,2002-10-07,CHI,GB,21:00:00,21,0,0
2002_06_SF_SEA,2002-10-14,SEA,SF,21:00:00,21,0,0
2002_07_IND_PIT,2002-10-21,PIT,IND,21:00:00,21,0,0
2002_08_NYG_PHI,2002-10-28,PHI,NYG,21:00:00,21,0,0
2002_09_MIA_GB,2002-11-04,GB,MIA,21:00:00,21,0,0
2002_10_OAK_DEN,2002-11-11,DEN,LV,21:00:00,21,0,0
2002_11_CHI_STL,2002-11-18,LA,CHI,21:00:00,21,0,0
2002_12_PHI_SF,2002-11-25,SF,PHI,21:00:00,21,0,0
2002_13_NE_DET,2002-11-28,DET,NE,12:30:00,12,30,0
2002_13_NYJ_OAK,2002-12-02,LV,NYJ,21:00:00,21,0,0
2002_14_CHI_MIA,2002-12-09,MIA,CHI,21:00:00,21,0,0
2002_15_NE_TEN,2002-12-16,TEN,NE,21:00:00,21,0,0
2002_16_PIT_TB,2002-12-23,TB,PIT,21:00:00,21,0,0
2002_16_SF_ARI,2002-12-21,ARI,SF,17:00:00,17,0,0
2002_17_KC_OAK,2002-12-28,LV,KC,17:00:00,17,0,0
2002_17_SF_STL,2002-12-30,LA,SF,21:00:00,21,0,0
2002_20_TB_PHI,2003-01-19,PHI,TB,15:00:00,15,0,0
2002_20_TEN_OAK,2003-01-19,LV,TEN,18:30:00,18,30,0
2002_21_OAK_TB,2003-01-26,TB,LV,18:18:00,18,18,0
2003_01_ARI_DET,2003-09-07,DET,ARI,09:06:08,9,6,8
2003_01_ATL_DAL,2003-09-07,DAL,ATL,11:19:07,11,19,7
2003_01_BAL_PIT,2003-09-07,PIT,BAL,09:06:08,9,6,8
2003_01_CHI_SF,2003-09-07,SF,CHI,09:20:06,9,20,6
2003_01_DEN_CIN,2003-09-07,CIN,DEN,09:06:09,9,6,9
2003_01_HOU_MIA,2003-09-07,MIA,HOU,09:06:02,9,6,2
2003_01_IND_CLE,2003-09-07,CLE,IND,09:06:20,9,6,20
2003_01_JAX_CAR,2003-09-07,CAR,JAX,09:05:57,9,5,57
2003_01_MIN_GB,2003-09-07,GB,MIN,08:05:19,8,5,19
2003_01_NE_BUF,2003-09-07,BUF,NE,09:07:22,9,7,22
2003_01_NO_SEA,2003-09-07,SEA,NO,09:18:14,9,18,14
2003_01_NYJ_WAS,2003-09-04,WAS,NYJ,17:09:06,17,9,6
2003_01_OAK_TEN,2003-09-07,TEN,LV,15:51:02,15,51,2
2003_01_SD_KC,2003-09-07,KC,LAC,08:14:06,8,14,6
2003_01_STL_NYG,2003-09-07,NYG,LA,09:05:18,9,5,18
2003_01_TB_PHI,2003-09-08,PHI,TB,17:09:36,17,9,36
2003_02_BUF_JAX,2003-09-14,JAX,BUF,09:03:00,9,3,0
2003_02_CAR_TB,2003-09-14,TB,CAR,12:05:32,12,5,32
2003_02_CHI_MIN,2003-09-14,MIN,CHI,15:44:26,15,44,26
2003_02_CIN_OAK,2003-09-14,LV,CIN,09:16:03,9,16,3
2003_02_CLE_BAL,2003-09-14,BAL,CLE,09:02:44,9,2,44
2003_02_DAL_NYG,2003-09-15,NYG,DAL,17:09:01,17,9,1
2003_02_DEN_SD,2003-09-14,LAC,DEN,09:16:23,9,16,23
2003_02_DET_GB,2003-09-14,GB,DET,08:03:11,8,3,11
2003_02_HOU_NO,2003-09-14,NO,HOU,08:02:33,8,2,33
2003_02_MIA_NYJ,2003-09-14,NYJ,MIA,09:02:55,9,2,55
2003_02_NE_PHI,2003-09-14,PHI,NE,12:15:33,12,15,33
2003_02_PIT_KC,2003-09-14,KC,PIT,08:02:47,8,2,47
2003_02_SEA_ARI,2003-09-14,ARI,SEA,09:05:41,9,5,41
2003_02_SF_STL,2003-09-14,LA,SF,08:03:55,8,3,55
2003_02_TEN_IND,2003-09-14,IND,TEN,08:02:50,8,2,50
2003_02_WAS_ATL,2003-09-14,ATL,WAS,09:03:33,9,3,33
2003_03_BAL_SD,2003-09-21,LAC,BAL,09:15:29,9,15,29
2003_03_CLE_SF,2003-09-21,SF,CLE,09:16:11,9,16,11
2003_03_GB_ARI,2003-09-21,ARI,GB,09:06:13,9,6,13
2003_03_JAX_IND,2003-09-21,IND,JAX,08:02:43,8,2,43
2003_03_KC_HOU,2003-09-21,HOU,KC,08:02:23,8,2,23
2003_03_MIN_DET,2003-09-21,DET,MIN,09:03:09,9,3,9
2003_03_NO_TEN,2003-09-21,TEN,NO,08:03:12,8,3,12
2003_03_NYG_WAS,2003-09-21,WAS,NYG,12:05:34,12,5,34
2003_03_NYJ_NE,2003-09-21,NE,NYJ,09:02:59,9,2,59
2003_03_OAK_DEN,2003-09-22,DEN,LV,15:09:22,15,9,22
2003_03_PIT_CIN,2003-09-21,CIN,PIT,09:02:18,9,2,18
2003_03_STL_SEA,2003-09-21,SEA,LA,09:05:58,9,5,58
2003_03_TB_ATL,2003-09-21,ATL,TB,09:03:29,9,3,29
2003_04_ARI_STL,2003-09-28,LA,ARI,08:03:08,8,3,8
2003_04_ATL_CAR,2003-09-28,CAR,ATL,12:15:38,12,15,38
2003_04_CIN_CLE,2003-09-28,CLE,CIN,09:02:43,9,2,43
2003_04_DAL_NYJ,2003-09-28,NYJ,DAL,12:15:36,12,15,36
2003_04_DET_DEN,2003-09-28,DEN,DET,10:15:23,10,15,23
2003_04_IND_NO,2003-09-28,NO,IND,15:37:11,15,37,11
2003_04_JAX_HOU,2003-09-28,HOU,JAX,08:03:05,8,3,5
2003_04_KC_BAL,2003-09-28,BAL,KC,12:06:00,12,6,0
