game_id,game_date,home_team,away_team,start_time,hour,minute,second,actual_hour
2001_01_NYG_DEN,9/10/2001,DEN,NYG,21:00:00,21,0,0,21
2001_02_WAS_GB,9/24/2001,GB,WAS,21:00:00,21,0,0,21
2001_03_SF_NYJ,10/1/2001,NYJ,SF,21:00:00,21,0,0,21
2001_04_STL_DET,10/8/2001,DET,LA,21:00:00,21,0,0,21
2001_05_WAS_DAL,10/15/2001,DAL,WAS,21:00:00,21,0,0,21
2001_06_PHI_NYG,10/22/2001,NYG,PHI,21:00:00,21,0,0,21
2001_07_TEN_PIT,10/29/2001,PIT,TEN,21:00:00,21,0,0,21
2001_08_DEN_OAK,11/5/2001,LV,DEN,21:00:00,21,0,0,21
2001_09_BAL_TEN,11/12/2001,TEN,BAL,21:00:00,21,0,0,21
2001_10_NYG_MIN,11/19/2001,MIN,NYG,21:00:00,21,0,0,21
2001_11_GB_DET,11/22/2001,DET,GB,12:30:00,12,30,0,12
2001_11_TB_STL,11/26/2001,LA,TB,21:00:00,21,0,0,21
2001_12_GB_JAX,12/3/2001,JAX,GB,21:00:00,21,0,0,21
2001_13_IND_MIA,12/10/2001,MIA,IND,21:00:00,21,0,0,21
2001_14_OAK_SD,12/15/2001,LAC,LV,17:00:00,17,0,0,16
2001_14_STL_NO,12/17/2001,NO,LA,21:00:00,21,0,0,21
2001_15_PHI_SF,12/22/2001,SF,PHI,17:00:00,17,0,0,16
2001_15_TEN_OAK,12/22/2001,LV,TEN,21:00:00,21,0,0,21
2001_16_BAL_TB,12/29/2001,TB,BAL,21:00:00,21,0,0,21
2001_17_DEN_IND,1/6/2002,IND,DEN,12:00:00,12,0,0,13
2001_17_MIN_BAL,1/7/2002,BAL,MIN,21:00:00,21,0,0,21
2002_01_PIT_NE,9/9/2002,NE,PIT,21:00:00,21,0,0,21
2002_02_PHI_WAS,9/16/2002,WAS,PHI,21:00:00,21,0,0,21
2002_03_STL_TB,9/23/2002,TB,LA,21:00:00,21,0,0,21
2002_04_DEN_BAL,9/30/2002,BAL,DEN,21:00:00,21,0,0,21
